"company_name","url","category","tools"
"Perfect Keto","https://www.1800d2c.com//brand/perfect-keto","Food","Heading 
Dovetale 
Sendgrid 
Postscript 
Yotpo 
Algolia 
Heading 
Returnly 
Hotjar 
Visual Website Optimizer 
Kinsta 
Shogun 
Typeform 
Friendbuy 
HelpDocs 
JustUno 
Gorgias 
Shopify 
Klaviyo 
Outbrain 
Back in Stock 
Shopify Plus 
Refersion 
Afterpay 
Octane AI 
Unbounce 
GRIN 
"
"Puracy","https://www.1800d2c.com//brand/puracy","Home","Heading 
Rebuy 
Triple Whale 
Heading 
Zendesk 
Stamped 
Refersion 
Shopify 
Klaviyo 
Heading 
ShareASale 
AddShoppers 
Lucky Orange 
"
"Mylee","https://www.1800d2c.com//brand/mylee","Personal Care","Heading 
Videowise 
Triple Whale 
Heading 
Referral Candy 
Teads 
Zendesk 
Octane AI 
Yotpo 
Shopify 
Klarna 
Hotjar 
Klaviyo 
Clearpay 
Outbrain 
Yieldify 
"
"The Muse","https://www.1800d2c.com//brand/the-muse","Apparel","Moda 
Shopify 
Judge Me 
Heading 
Omnisend 
MailChimp 
Lucky Orange 
"
"YourLibaas","https://www.1800d2c.com//brand/yourlibaas","Apparel","Moda 
Searchanise 
WhatsApp 
Heading 
Littledata 
Stamped 
Shopify 
Algolia 
Bold Commerce 
Hotjar 
Elfsight 
Omnisend 
Heading 
Privy 
"
"Bombay Island Coffee","https://www.1800d2c.com//brand/bombay-island-coffee","Beverage","Moda 
Shopify 
Netlify 
Heading 
Judge Me 
"
"Red Moose","https://www.1800d2c.com//brand/red-moose","Lifestyle","Superfiliate 
Fondue 
Postscript 
Shopify 
Triple Whale 
Inveterate 
Gorgias 
Okendo 
"
"Haven Athletic","https://www.1800d2c.com//brand/haven-athletic","Apparel","Junip 
Rebuy 
Dovetale 
Northbeam 
Webflow 
Postscript 
Shopify 
Klaviyo 
Unbounce 
PostHog 
Snowplow 
"
"waterdrop","https://www.1800d2c.com//brand/waterdrop","Beverage",""
"Caraa","https://www.1800d2c.com//brand/caraa","Apparel","Triple Whale 
Growave 
Contentful 
Attentive 
Kustomer 
Okendo 
Shopify 
Hotjar 
Klaviyo 
Heading 
FullStory 
Talkable 
Next.js 
QuadPay 
"
"Urth","https://www.1800d2c.com//brand/urth","Lifestyle","WisePops 
Active Campaign 
Gorgias 
Foursixty 
Afterpay 
Okendo 
Heading 
Shopify 
Shopify Plus 
Klaviyo 
Hotjar 
Impact 
Sanity 
Next.js 
Aftership 
"
"Red Ball Jets","https://www.1800d2c.com//brand/red-ball-jets","Apparel","Dovetale 
Shopify 
Yotpo 
Heading 
Klaviyo 
Back in Stock 
ShareASale 
"
"Gantri","https://www.1800d2c.com//brand/gantri","Home","Next.js 
Mixpanel 
Zendesk 
Klaviyo 
Intercom 
Affirm 
Sendgrid 
Segment 
Algolia 
Amplitude 
Netlify 
MailChimp 
Vercel 
"
"Drake's","https://www.1800d2c.com//brand/drake-s","Apparel","Swap 
Global-e 
Foursixty 
Shopify 
Trustpilot 
Nice 
Back in Stock 
Ometria 
"
"LSKD","https://www.1800d2c.com//brand/lskd","Apparel","Status 
Tolstoy 
Tapcart 
Sendgrid 
Yotpo 
Hotjar 
Shogun 
Carro 
pushowl 
Instant Search Plus 
Gorgias 
SMSBump 
Shopify 
Klaviyo 
Yottaa 
Back in Stock 
Refersion 
Afterpay 
Rise.ai 
Klarna 
Nosto 
"
"Wisp","https://www.1800d2c.com//brand/wisp","Health & Wellness","RockerBox 
GRIN 
Contentful 
Gatsby JS 
Help Scout 
Netlify 
UpSellit 
SpeedCurve 
Klaviyo 
"
"Vivobarefoot","https://www.1800d2c.com//brand/vivobarefoot","Apparel","Bloomreach 
Global-e 
Zendesk 
Trustpilot 
Hotjar 
Klarna 
Affiliate Window 
HERO 
Narvar 
Magento 
Braintree 
"
"Brewdog","https://www.1800d2c.com//brand/brewdog","Beverage","Bloomreach 
Sendgrid 
Contentful 
Afterpay 
Hotjar 
Visual Website Optimizer 
Netlify 
Affiliate Window 
Strava 
Typeform 
Next.js 
Segment 
Vercel 
"
"Monty's","https://www.1800d2c.com//brand/monty-s","Food","GRIN 
Heading 
Bold Commerce 
Yotpo 
Covet Pics 
Shopify 
Bold Bundles 
Klaviyo 
"
"ILIA","https://www.1800d2c.com//brand/ilia","Personal Care","Tresl 
Dovetale 
Nacelle 
Yotpo 
Vercel 
Heading 
Returnly 
Zendesk 
Attentive 
Okendo 
Elevar 
Tatari 
Contentful 
Gorgias 
Shopify 
Klaviyo 
Impact 
Afterpay 
Heading 
Rise.ai 
FullStory 
GRIN 
"
"Sol de Janeiro","https://www.1800d2c.com//brand/sol-de-janeiro","Personal Care","Tresl 
Yotpo 
Heading 
route 
Yieldify 
AddShoppers 
WooCommerce 
MailChimp 
Heading 
Hotjar 
Persistent Cart 
Listrak 
Gorgias 
Shopify 
Podsights 
Klaviyo 
Shopify Plus 
SearchSpring 
Afterpay 
FullStory 
GRIN 
"
"Roam","https://www.1800d2c.com//brand/roam","Personal Care","Hotjar 
Klaviyo 
Affiliate Window 
Next.js 
Segment 
Vercel 
"
"MOSH","https://www.1800d2c.com//brand/mosh","Food","Klaviyo 
Typeform 
Shopify Plus 
Okendo 
Gorgias 
Heading 
Attentive 
Triple Whale 
"
"Rachel Comey","https://www.1800d2c.com//brand/rachel-comey","Apparel","Global-e 
Triple Whale 
Recurate 
Shopify Plus 
Heading 
Afterpay 
Shopify 
Klaviyo 
Hotjar 
HERO 
Shogun 
Back in Stock 
Kiwi Sizing 
Boost Commerce 
"
